id;nome;isPrioritaria;isEntregavel;escopopadrao_id;disciplina_id
;Elaboração de Estimativa de Hh;1;0;1;1
;Levantamento Documentação / Solicitação de Originais;1;0;1;1
;Análise Documentação Recebida;1;0;1;1
;Análise Crítica do Projeto;1;0;1;1
;Reuniões DR;1;0;1;1
;Levantamento de Campo ;1;0;1;1
;Reuniões com disciplinas (Apoio);1;0;1;1
;Lista de Documentos (LDP);1;0;1;1
;Cadastramento de SAP;1;0;1;1
;Gerenciamento de documentação ;1;0;1;1
;C+B2:B12oordenação e Adminstração;1;0;1;1
;Elaboração de Estimativa de Hh;1;0;2;2
;Levantamento Documentação / Solicitação de Originais;1;0;2;2
;Análise Documentação Recebida;1;0;2;2
;Análise Crítica do Projeto;1;0;2;2
;Reuniões DR;1;0;2;2
;Levantamento de Campo ;1;0;2;2
;Reuniões com disciplinas (Apoio);1;0;2;2
;Lista de Documentos (LDP);1;0;2;2
;Cadastramento de SAP;1;0;2;2
;Gerenciamento de documentação ;1;0;2;2
;Coordenação e Adminstração;1;0;2;2
;Elaboração de Estimativa de Hh;1;0;3;3
;Levantamento Documentação / Solicitação de Originais;1;0;3;3
;Análise Documentação Recebida;1;0;3;3
;Análise Crítica do Projeto;1;0;3;3
;Reuniões DR;1;0;3;3
;Levantamento de Campo ;1;0;3;3
;Reuniões com disciplinas (Apoio);1;0;3;3
;Lista de Documentos (LDP);1;0;3;3
;Cadastramento de SAP;1;0;3;3
;Gerenciamento de documentação ;1;0;3;3
;C+B2:B12oordenação e Adminstração;1;0;3;3
;Preparar Máquina Virtual de Configuração;1;0;3;1
;Configurar Entradas Analógicas;1;0;3;1
;Configurar Entradas Discretas;1;0;3;1
;Configurar Saídas Analógicas;1;0;3;1
;Configurar Saídas Discretas;1;0;3;1
;Configurar Cartão Mynah;1;0;3;1
;Configurar Dataset para comunicação Modbus;1;0;3;1
;Configuração das Funções de Monitoramento e totalização;1;0;3;1
;Configuração das Funções de Controle Analógico;1;0;3;1
;Configuração das Funções de Controle Discreto;1;0;3;1
;Configuração das Funções de Lógica;1;0;3;1
;Configuração das Tela de Operação;1;0;3;1
;Modificação das Tela de Operação;1;0;3;1
;Executar TAF;1;0;3;1
;Carrregar Configuração no SDCD;1;0;3;1
;Comissionamento e Startup;1;0;3;1
;Desenvolvimento de Ferramenta;1;0;3;1
;Reuniões de Engenharia;1;0;3;1
;Levantamento e Análise de Documentação;1;0;3;1
;Validação das Informações da Documentação;1;0;3;1
;Criterios de projeto - Processo;1;0;1;2
;Memorial Descritivo- Processo;1;0;1;2
;Balanços gerais de material e energia;1;0;1;2
;Diagrama de Causa e Efeito;1;0;1;2
;Dados de Processo (condições de suprimento de matérias primas, utilidades, catalisadores e dos demais produtos químicos);1;0;1;2
;Especificações de Suprimento (especificações de matérias primas, utilidades, catalisadores e demais produtos químicos);1;0;1;2
;"Descrição e dados dos Efluentes (Local de geração, quantidade, freqüências e composição);";1;0;1;2
;Folha de Dados de Processo para Instrumentação;1;0;1;2
;Folha de dados de processo para equipamentos;1;0;1;2
;Fluxograma de Processo ;1;0;1;2
;Fluxogramas de Utilidades (PFD);1;0;1;2
;Fluxogramas de Engenharia (PID) (Copia Piloto);1;0;1;2
;Lista de Equipamentos e Instrumentos (incluir dados de Potência dos Equipamentos);1;0;1;2
;Lista de Linhas;1;0;1;2
;Memórias de Cálculo Misturador Estatico;1;0;1;2
;Lista de Tie-ins;1;0;1;2
;Lista  de pontos  de ajuste para intertravamentos;1;0;1;2
;Manual de Operação;1;0;1;2
;Análise de Risco de Processo;1;0;1;2
;Cadastrar TAG's de linha, instrumento e equipamento no SAP;1;0;1;2
;Emissão Relatório TAG's no SAP;1;0;1;2
;Carregamento de dados de Engenharia no sistema de Comissionamento ;1;0;1;2
;Folha de Dados de Processo para Instrumentos - Analisadores (por analisador);1;0;1;2
;Memorial Descritivo de Projeto Básico;1;0;1;3
;Verificação de FD de Instrumentos;1;0;1;3
;Apoio consolidação do fluxograma ;1;0;1;3
;Folha de Especificação de Instrumentos ;1;0;1;3
;Elaboração de RM;1;0;1;3
;Análises técnicas de propostas de fornecedores;1;0;1;3
;Lista de Materiais ;1;0;1;3
;Lista de Instrumentos ;1;0;1;3
;Carregamento de Hardware;1;0;1;3
;Diagramas de Bloco;1;0;1;3
;Diagramas de Malhas ;1;0;1;3
;Plantas de Instrumentação  Preliminar;1;0;1;3
;Detalhes típicos de instrumentação;1;0;1;3
;Lista de cabos;1;0;1;3
;Diagramas de Interligação ;1;0;1;3
;Documentos Certificados de Fornecedores;1;0;1;3
;Memoria de Calculo SIL Básico;1;0;1;3
;Cadastrar TAG's de linha, instrumento e equipamento no SAP MM;1;0;1;3
;Emissão Relatório TAG's no SAP;1;0;1;3
;Carregamento de dados de Engenharia no sistema de Comissionamento;1;0;1;3
;Critérios de projeto - Automação;1;0;1;1
;Memorial Descritivo de Projeto;1;0;1;1
;Arranjo da Sala de Controle;1;0;1;1
;Arranjo da Sala de Engenharia de Automação;1;0;1;1
;Lista de Entradas e Saídas (Incluso MD);1;0;1;1
;Arquitetura do Sistema;1;0;1;1
;Diagrama de Blocos;1;0;1;1
;Lista de Materiais, software e equipamentos de Automação;1;0;1;1
;Lista de Serviços (Incluso MD);1;0;1;1
;Requisições de Materiais;1;0;1;1
;Diagramas de Controle de Processo;1;0;1;1
;Diagrama Lógico;1;0;1;1
;Especificações Técnicas – Sistema de Parada de Emergência, de painel de Controle, Estação Remota, etc;1;0;1;1
